id	deliveryId	name	status	startTime	endTime	employeeId
1	2	PetServicing for Dog Boarding	COMPLETED	2023-06-28 14:04:07.000	2023-06-30 11:15:50.000	9
2	5	PetServicing for Cat Training	COMPLETED	2023-11-21 01:46:45.000	2023-11-23 23:44:22.000	8
3	7	PetServicing for Pet Taxi	COMPLETED	2022-04-05 06:55:35.000	2022-04-07 02:26:45.000	9
4	8	PetServicing for Cat Grooming	COMPLETED	2022-04-04 20:19:03.000	2022-04-07 20:15:12.000	1
5	10	PetServicing for Dog Training	IN_PROGRESS	2023-05-12 04:27:36.000	2023-05-14 16:57:13.000	8
6	11	PetServicing for Dog Walking	PENDING	2023-05-12 15:36:57.000	2023-05-12 20:04:54.000	2
7	12	PetServicing for Veterinary Consultation	PENDING	2023-05-12 08:42:29.000	2023-05-12 10:25:11.000	5
8	14	PetServicing for Cat Boarding	COMPLETED	2023-10-20 09:05:59.000	2023-10-20 23:37:44.000	9
9	15	PetServicing for Cat Grooming	COMPLETED	2023-10-19 13:42:15.000	2023-10-20 16:19:29.000	3
10	17	PetServicing for Pet Taxi	COMPLETED	2022-05-29 17:36:45.000	2022-05-31 04:54:28.000	2
11	18	PetServicing for Dog Boarding	COMPLETED	2022-05-29 15:54:02.000	2022-05-30 12:39:59.000	7
12	20	PetServicing for Cat Training	PENDING	2023-11-15 09:56:43.000	2023-11-18 00:46:24.000	9
13	21	PetServicing for Dog Boarding	PENDING	2023-11-15 19:04:01.000	2023-11-17 01:28:13.000	9
14	23	PetServicing for Dog Training	COMPLETED	2023-11-02 05:02:27.000	2023-11-02 17:13:48.000	5
15	24	PetServicing for Pet Taxi	COMPLETED	2023-11-02 05:28:59.000	2023-11-04 04:55:12.000	2
16	25	PetServicing for Pet Taxi	COMPLETED	2023-11-02 03:32:44.000	2023-11-04 00:49:59.000	3
17	27	PetServicing for Pet Taxi	COMPLETED	2023-05-12 07:18:38.000	2023-05-13 19:54:18.000	5
18	28	PetServicing for Pet Taxi	COMPLETED	2023-05-12 02:59:28.000	2023-05-14 04:38:44.000	3
19	30	PetServicing for Pet Taxi	COMPLETED	2023-09-08 20:12:31.000	2023-09-10 11:28:23.000	8
20	31	PetServicing for Cat Boarding	COMPLETED	2023-09-08 09:33:36.000	2023-09-10 04:16:53.000	5
21	33	PetServicing for Dog Grooming	COMPLETED	2023-05-07 15:21:07.000	2023-05-09 05:13:45.000	5
22	34	PetServicing for Cat Grooming	COMPLETED	2023-05-08 02:54:06.000	2023-05-10 21:23:10.000	3
23	35	PetServicing for Dog Training	COMPLETED	2023-05-07 14:35:00.000	2023-05-09 16:20:44.000	6
24	37	PetServicing for Pet Taxi	COMPLETED	2022-04-23 05:12:33.000	2022-04-24 10:51:54.000	3
25	38	PetServicing for Dog Boarding	COMPLETED	2022-04-23 15:03:09.000	2022-04-26 01:08:51.000	3
26	40	PetServicing for Dog Boarding	COMPLETED	2023-06-16 15:06:46.000	2023-06-18 06:26:58.000	4
27	41	PetServicing for Dog Grooming	COMPLETED	2023-06-16 17:28:14.000	2023-06-19 10:44:27.000	3
28	42	PetServicing for Cat Training	COMPLETED	2023-06-17 08:27:37.000	2023-06-17 20:55:05.000	4
29	44	PetServicing for Cat Training	COMPLETED	2022-01-29 05:20:10.000	2022-01-30 15:07:18.000	6
