id	name	type	price
1	Dog Grooming	SERVICE	30.00
2	Cat Grooming	SERVICE	25.00
3	Dog Training	SERVICE	50.00
4	Cat Training	SERVICE	40.00
5	Dog Boarding	SERVICE	30.00
6	Cat Boarding	SERVICE	25.00
7	Dog Walking	SERVICE	15.00
8	Pet Sitting	SERVICE	20.00
9	Pet Taxi	SERVICE	25.00
10	Veterinary Consultation	SERVICE	50.00
11	Dog Food	PRODUCT	20.00
12	Cat Food	PRODUCT	15.00
13	Bird Food	PRODUCT	10.00
14	Fish Food	PRODUCT	5.00
15	Dog Toy	PRODUCT	10.00
16	Cat Toy	PRODUCT	8.00
17	Bird Cage	PRODUCT	50.00
18	Fish Tank	PRODUCT	100.00
19	Dog Bed	PRODUCT	30.00
20	Cat Bed	PRODUCT	25.00
21	Dog Leash	PRODUCT	15.00
22	Cat Collar	PRODUCT	10.00
23	Bird Swing	PRODUCT	12.00
24	Fish Filter	PRODUCT	20.00
25	Dog Shampoo	PRODUCT	10.00
26	Cat Litter	PRODUCT	8.00
27	Bird Treat	PRODUCT	5.00
28	Fish Food Flakes	PRODUCT	3.00
29	Dog Brush	PRODUCT	12.00
30	Cat Brush	PRODUCT	10.00
