id	productId	storeDate	storeLocation	priceEach	quantity	mgfDate	expDate
1	1	2022-01-01	Warehouse 1 - Westminster, CA 92683	17.00	100000	2022-01-01	2023-01-01
2	1	2023-01-01	Warehouse 2 - Westminster, CA 92683	17.50	100000	2023-01-01	2024-01-01
3	1	2024-01-01	Warehouse 3 - Westminster, CA 92683	18.00	100000	2024-01-01	2025-01-01
4	2	2022-01-01	Warehouse 1 - Westminster, CA 92683	13.00	100000	2022-01-01	2023-01-01
5	2	2023-01-01	Warehouse 2 - Westminster, CA 92683	13.50	100000	2023-01-01	2024-01-01
6	2	2024-01-01	Warehouse 3 - Westminster, CA 92683	14.00	100000	2024-01-01	2025-01-01
7	3	2022-01-01	Warehouse 1 - Westminster, CA 92683	8.00	100000	2022-01-01	2023-01-01
8	3	2023-01-01	Warehouse 2 - Westminster, CA 92683	8.50	100000	2023-01-01	2024-01-01
9	3	2024-01-01	Warehouse 3 - Westminster, CA 92683	9.00	100000	2024-01-01	2025-01-01
10	4	2022-01-01	Warehouse 1 - Westminster, CA 92683	3.00	100000	2022-01-01	2023-01-01
11	4	2023-01-01	Warehouse 2 - Westminster, CA 92683	3.50	100000	2023-01-01	2024-01-01
12	4	2024-01-01	Warehouse 3 - Westminster, CA 92683	4.00	100000	2024-01-01	2025-01-01
13	5	2022-01-01	Warehouse 1 - Westminster, CA 92683	8.00	100000	2022-01-01	2023-01-01
14	5	2023-01-01	Warehouse 2 - Westminster, CA 92683	8.50	100000	2023-01-01	2024-01-01
15	5	2024-01-01	Warehouse 3 - Westminster, CA 92683	9.00	100000	2024-01-01	2025-01-01
16	6	2022-01-01	Warehouse 1 - Westminster, CA 92683	6.00	100000	2022-01-01	2023-01-01
17	6	2023-01-01	Warehouse 2 - Westminster, CA 92683	6.50	100000	2023-01-01	2024-01-01
18	6	2024-01-01	Warehouse 3 - Westminster, CA 92683	7.00	100000	2024-01-01	2025-01-01
19	7	2022-01-01	Warehouse 1 - Westminster, CA 92683	40.00	100000	2022-01-01	2023-01-01
20	7	2023-01-01	Warehouse 2 - Westminster, CA 92683	42.00	100000	2023-01-01	2024-01-01
